	name	time
34	(512汶川地震(Ms 8.0)之地震地質研究 3/3)Co-Investigator (PI:陳文山) NTD: 6	01/01/2011 - 02/29/2012
35	A Low Power System Design for Android Operating System based on Run-time Information with Machine Learning Mechanisms (Android上以系統即時資訊為基礎並採用機器學習之低功耗作業系統核心軟體設計之研究)	08/01/2010 - 07/31/2011
36	Implementation of High Performance GPU Computing Platform for Multi-Source Remote Sensing Images Applied to Landslide Analysis (建構多源遙測影像高效能運算整合平台應用於崩塌地之判識研究)	08/01/2010 - 07/31/2011
37	視障者資訊輔具計畫--用於視障之廚房條碼辨識讀出及遠端資料庫存取1/2	08/01/2010 - 07/31/2011
38	A Wireless Platform for Supporting Teaching and Learning Assessments (一個支援教學評量的無線平台)	08/01/2009 - 07/31/2010
39	Low Power System Design for Portable Devices using Dynamic Voltage and Frequency Scaling with the Hardware and Software Information Feedback Mechanisms and Overhead Considerations (可攜式裝置上具備軟硬體資訊回饋機制且考慮額外負擔之動態電壓頻率調整低功耗系統設計之研究)	08/01/2009 - 07/31/2010
40	Landslide change detection and susceptibility analysis on Taiwan using remote sensing images (應用遙測影像資料於台灣崩塌地變遷及其敏感度分析之研究)	08/01/2009 - 08/31/2010
41	Parallel computing techniques for target detection	08/01/2008 - 07/31/2009
42	Automatic coastline change detection on Taiwan using parallel computing and data fusion techniques with remote sensing images (遙測衛星影像資料融合及平行處理技術應用於台灣海岸線變遷研究)	08/01/2008 - 07/31/2009
43	Construction and Study of a WSN-based Environment for Interactive Hardware Lab (以無線感測網路為基礎之互動式硬體實習環境建構與研究)	08/01/2007 - 07/31/2008
44	A Study on Low Power Design of the Battery-aware Portable Embedded Multi-processor Systems (可攜式嵌入式多處理器系統低功率設計之研究)	08/01/2007 - 07/31/2008
45	Fusion of remote sensing images for geological data analysis and disaster management in Taiwan area (遙測影像資料融合技術應用於台灣地區地質資料分析及自然災害管理之方法研究)	08/01/2007 - 07/31/2008
46	Parallel computing techniques for data fusion and information mining of high-dimensional remote sensing images (平行計算技術應用於高維遙測影像之資料融合與資料探勘)	08/01/2006 - 07/31/2007
47	A multi-dimensional modular eigenspace feature extraction technique for the data fusions of high-dimensional remote sensing images (多維模組特徵空間萃取方法應用於高維遙測影像資料融合)	08/01/2005 - 07/31/2006
48	Data fusions and feature extractions for hyperspectral and synthetic aperture radar (SAR) images (高光譜光學與合成孔徑雷達遙測影像之資料融合特徵萃取及其分析)	08/01/2004 - 07/31/2005
49	Catastrophic Compound Disaster Assessment and Scenario Simulation at the Houshanyue Area near the MRT Zhinan Temple Station (極端氣候下複合性災害防治之研究－捷運指南宮站猴山岳山區在極端氣候下可能產生之複合性災害評估及境況模擬 - 子計畫二: 地貌海量數據處理以及視覺化計算顯示於超高解析度顯示牆並應用於崩塌地的KML高效能資訊平台建置 1/3) 	08/01/2010 - 07/31/2011
50	Advanced 5G communication and multiple low-orbit satellites for an intelligent	11/01/2021 - 09/30/2022
51	Smart audio and video module (工業技術研究院 -- 國立台北商業大學『智慧化居住空間網頁維護與架設』計畫)	03/21/2022 - 12/30/2022
52	Synthetic Aperture Radar Images Applied to Coastline Monitoring (國家實驗研究院國家太空中心『 合成孔徑雷達資料應用於海岸線監測研究』計畫)	08/01/2021 - 07/31/2022
53	Social Media Monitoring and Analytic based on Internet Big Data During Disaster Situations and Emergency Response Operations (國家災害防救科技中心『應用網路大數據進行災害期間輿情分析』計畫)	08/01/2021 - 01/31/2022
54	Artificial intelligence applied to breast tumor detection using mammography images (應用AI技術建立乳房攝影腫瘤影像之辨識模型計畫) 110年度臺北科技大學暨振興醫院研究計畫	01/01/2021 - 12/31/2021
55	Coherency Processing Interval (CPI)	04/15/2021 - 11/30/2021
56	Smart audio and video module (工業技術研究院 -- 國立台北商業大學『智慧化居住空間網頁維護與架設』計畫)	03/26/2021 - 11/30/2021
57	High-resolution image radar integrated development (國家中山科學研究院『 高解析度圖像雷達整合發展技術研究(2/2)』計畫)	06/09/2020 - 11/30/2019
58	Smart audio and video module (翰成數位科技『智慧影音模組』計畫)	05/05/2020 - 06/15/2020
59	Synthetic Aperture Radar Images Applied to Rice Extraction (國家實驗研究院國家太空中心『 合成孔徑雷達資料應用於水稻萃取研究』計畫)	05/01/2019 - 04/30/2020
60	An Efficient and Intelligent Vehicle Recognition and Classification System using Deep Learning (YOLO-v2) (深度學習應用於智慧辨識及分類車輛計畫)	01/01/2020 - 12/31/2020
61	High-resolution image radar integrated development (國家中山科學研究院『 高解析度圖像雷達整合發展技術研究(1/2)』計畫)	05/15/2019 - 11/30/2019
62	High-performance GPU accelerated dynamic flooding simulation (Sinotech Engineering Consultants Inc. 財團法人中興工程顧問社 - 中興工程顧問公司『高效能GPU加速動態淹水模擬』計畫)	05/01/2018 - 04/30/2020
63	Theoretical Study on the Application of Polarimetric SAR in Urban and Rural Environmental Change Monitoring (極化SAR在城鄉環境變化監測中的應用理論研究計畫) 108年度臺北科技大學暨北京科技大學學術合作專題研究計畫	01/01/2019 - 12/31/2019
64	Development of ANN-based Ganoderma Disease Detection Algorithm (新南向計畫之強化與東協及南亞國家合作交流學術型領域聯盟)	03/01/2019 - 08/30/2019
65	The implementation of ship detection for synthetic aperture radar Images (國家實驗研究院國家太空中心『合成孔徑雷達資料應用於船隻偵測研究』計畫)	05/01/2018 - 11/30/2018
66	The implementation of feature-based scheme for SAR target recognition (國家中山科學研究院『以特徵為基礎之合成孔徑雷達目標辨識系統技術研究』計畫)	05/16/2018 - 11/30/2018
67	Hight performance computing hierarchical feature-based classification approach to SAR images ship detection (高效能階層式特徵分類應用於SAR影像海洋船隻偵測研究計畫)	01/01/2018 - 12/31/2018
68	Simulations and designs of ISAR target signals and images (國家中山科學研究院『逆合成孔徑雷達(ISAR)目標信號及影像產出模擬設計』計畫)	05/16/2017 - 12/31/2017
69	Development of Automatic Ship and Oil Spill Detection Method for Synthetic Aperture Radar Images (Trid Pacific Inc. 創宇航太科技『合成孔徑雷達(SAR)影像船隻及油汙偵測』計畫)	05/23/2017 - 12/31/2017
70	High performance nearest feature space classification approach to coastline change detection using multisource remote sensing data fusion (高效能最鄰近特徵空間分類法應用資料融合遙測影像於海岸線變遷研究計畫)	01/01/2015 - 12/31/2015
71	Industrial Collaboration Research Projects: Intelligent query database of virtuhttp://english.ntou.edu.tw/bin/home.phpal shops (飛捷科技股份有限公司 『結合智慧型產品查詢系統之虛擬商店 』計畫)	10/01/2007 - 05/31/2008
72	Industrial Collaboration Research Projects: RFID system developments for library database (日晶科技股份有限公司『RFID圖書館流通管理系統資料庫』計畫)	08/01/2005 - 07/31/2006
73	Industrial Collaboration Research Projects: Web-base database developments for travel agents (大鵬聯合旅行社股份有限公司『旅遊網站結盟整合系統』計畫)	08/01/2005 - 07/31/2006
